DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
625.98039,1.810094236,33.062,13.394,0.893639172,81.38274397
692.40196,1.812855314,33.035,0.9827,0.893988732,89.55055056
646.07843,1.782964382,32.213,4.1564,0.894119409,79.69205116
615.93137,1.827873401,35.078,11.5429,0.894224317,79.92619593
664.82843,1.81089583,33.813,10.0702,0.894415661,84.65180797
682.35294,1.811514621,31.375,2.9366,0.895056071,87.46503049
682.96569,1.783727622,29.797,8.5214,0.895649797,85.9652392
618.62745,1.813479182,32.772,5.8722,0.897161661,79.90306771
617.89216,1.786333389,31.298,0.0372,0.897473192,76.25021246
667.52451,1.854033386,16.326,1.0933,0.898484754,78.88899235
675.61275,1.810202723,39.231,4.221,0.898917683,85.97852786
696.44608,1.823411794,32.147,3.759,0.90115225,99.69964276
642.76961,1.811028464,15.23,4.942,0.902237993,81.21905483
689.09314,1.82682136,33.276,6.0841,0.90254264,94.82931207
644.11765,1.815140155,35.396,2.0251,0.902829752,82.97935898
630.63726,1.820495867,31.276,11.1022,0.903060115,87.17322309
663.60294,1.810567507,34.174,7.7309,0.904428871,84.72781757
666.91177,1.815327657,31.983,13.756,0.904903777,87.59981469
615.19608,1.802735933,31.468,6.5522,0.905049083,81.20298745
601.83824,1.819714486,12.863,2.9761,0.905186166,76.94711581
675.61275,1.822673569,27.299,13.531,0.907059253,93.62200607
611.88726,1.820896347,37.538,0.0433,0.907749473,80.73540882
646.81373,1.823482303,28.718,7.9471,0.907896452,85.01263218
668.25981,1.81834781,30.849,11.247,0.908685772,89.38716197
646.81373,1.790407081,30.838,2.0081,0.908728503,78.42611256
678.30883,1.819917042,35.451,2.8534,0.909226392,89.3122594
666.17647,1.819867639,36.831,5.2607,0.909355371,86.69779507
672.91667,1.787584627,32.58,5.1025,0.909761525,83.32727557
612.5,1.819225957,32.848,7.219,0.909945806,80.62962052
680.26961,1.818503612,35.385,10.135,0.910276527,86.09094448
681.0049,1.813534357,35.242,3.5772,0.910786594,86.1123355
617.89216,1.819933024,12.962,7.4801,0.912722736,76.27059354
641.42157,1.815196951,33.1,11.68,0.912838658,84.34782203
648.77451,1.800890165,27.808,3.8444,0.913687869,87.38863289
661.51961,1.821937048,33.659,5.5892,0.915273449,90.39792614
684.31373,1.825328006,27.08,14.934,0.915699426,96.38374337
648.16177,1.833122997,37.028,6.6513,0.91607919,84.25709879
644.73039,1.844332133,8.514,2.358,0.919100657,76.94889549
662.86765,1.825710965,33.029,2.1965,0.91952199,81.05541069
625.98039,1.813839094,28.038,3.5832,0.919635355,83.61576221
656.86275,1.828427117,28.888,8.4481,0.923733825,87.16920441
674.26471,1.823138698,31.846,11.373,0.923964448,89.31627852
630.63726,1.827316926,37.483,7.6488,0.925820702,83.33376526
630.02451,1.806802477,27.901,1.8702,0.926496001,85.99266076
649.50981,1.823518209,11.872,0.0394,0.926679899,79.47371473
682.35294,1.824624033,31.123,12.584,0.926751969,91.95620928
677.57353,1.818928159,34.453,6.8308,0.926918174,85.71812947
682.35294,1.82423253,36.864,4.1827,0.92698914,89.77691113
689.09314,1.794042361,32.372,6.083,0.927455001,85.85485205
666.91177,1.83130555,31.369,5.2733,0.928102727,92.69024801
663.60294,1.799222278,29.408,7.4008,0.928147264,86.1084644
666.91177,1.837296575,37.735,6.0337,0.928274503,85.68007155
697.05883,1.830972335,33.73,7.1336,0.928372295,93.18013679
693.75,1.796130495,22.582,3.0138,0.928405097,87.15704503
659.55883,1.82300973,35.286,3.6933,0.928762235,88.13557002
658.21079,1.822500233,33.248,9.5304,0.928990254,87.17819955
640.68628,1.796295449,30.301,1.4136,0.929053444,80.66050534
